Товар наименование;код товара;цена;Остаток;код склада
Кофемолка Centek CT-1354 BL (черный) 200Вт, 70г, АВТОпомол (3 уровня), 3 LED индикатора;14549;12820;3;4
Кофемолка Centek CT-1354 BL (черный) 200Вт, 70г, АВТОпомол (3 уровня), 3 LED индикатора;14549;12890;0;2
Кофемолка Centek CT-1358 Violet (фиолет) 200Вт, 60 г, 6 ЧАШЕК АРОМАТНОГО КОФЕ, прозрачная крышка;11710;6699;1;4
Кофемолка Centek CT-1358 Violet (фиолет) 200Вт, 60 г, 6 ЧАШЕК АРОМАТНОГО КОФЕ, прозрачная крышка;11710;7950;0;2
Кофемолка Centek CT-1358 Violet (фиолет) 200Вт, 60 г, 6 ЧАШЕК АРОМАТНОГО КОФЕ, прозрачная крышка;11710;6699;2;3
Кофемолка Centek CT-1365 Black 250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11711;7089;4;4
Кофемолка Centek CT-1365 Black 250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11711;7078;2;2
Кофемолка Centek CT-1365 White  250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11712;9778;5;4
Кофемолка Centek CT-1365 White  250Вт, 165 мл, безопасная блокировка, стальн чаша, прозрачная крышка;11712;6600;0;2
Ванночка для ног Centek CT-2604 65 Вт, 3режима, инфракрасный авто.подогрев,вибромассаж;15438;16040;2;4
Ванночка для ног Centek CT-2604 65 Вт, 3режима, инфракрасный авто.подогрев,вибромассаж;15438;29335;0;2
Машинка для стрижки Centek CT-2129 (чер/зол)  срез 0...12мм, производительный мотор, шнур 1.8м;14058;4399;5;4
Машинка для стрижки Centek CT-2129 (чер/зол)  срез 0...12мм, производительный мотор, шнур 1.8м;14058;6990;0;2
Машинка для стрижки Centek CT-2134 (чер/сталь)  3 насадки, USB зарядка, время работы 55 мин;11311;5191;3;4
Машинка для стрижки Centek CT-2134 (чер/сталь)  3 насадки, USB зарядка, время работы 55 мин;11311;5191;1;2
Машинка для стрижки Centek CT-2135 (черный) 9 Вт, длина шнура 1.8м,  4 насадки, премиум упак, щеточ.;14059;6119;3;4
Машинка для стрижки Centek CT-2135 (черный) 9 Вт, длина шнура 1.8м,  4 насадки, премиум упак, щеточ.;14059;6120;3;2
Миксер Centek CT-1114 (белый/серый) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11113;9994;1;17
Миксер Centek CT-1114 (белый/серый) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11113;9994;1;2
Миксер Centek CT-1114 (белый/серый) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11113;9994;2;3
Миксер Centek CT-1115 (черный/хром) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11114;7114;2;4
Миксер Centek CT-1115 (черный/хром) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11114;7059;0;2
Миксер Centek CT-1115 (черный/хром) 350Вт, 6 скоростей+турбо, взбивание/замешивание;11114;7081;2;3
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;5845;5;4
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;11490;1;17
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;5812;3;2
Миксер Centek CT-1127 (син/черн) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14867;6280;1;3
Миксер Centek CT-1127 (черн/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14868;5735;4;4
Миксер Centek CT-1127 (черн/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14868;11490;1;17
Миксер Centek CT-1127 (черн/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус;14868;5556;2;2
Миксер с чашей Centek CT-1107 (бел/сталь) 320Вт <стальная чаша 3.5л >  5 скоростей+турбо;11116;14020;2;4
Миксер с чашей Centek CT-1107 (бел/сталь) 320Вт <стальная чаша 3.5л >  5 скоростей+турбо;11116;14180;0;2
Миксер с чашей Centek CT-1107 (бел/сталь) 320Вт <стальная чаша 3.5л >  5 скоростей+турбо;11116;14020;1;3
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20665;2;4
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20665;0;17
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20118;1;2
Миксер с чашей Centek CT-1124 (черн/сталь) 600Вт, 5 скоростей +турбо, чаша 3.0л;11118;20118;1;3
Мультиварка Centek CT-1499 <чёрный/сталь>  900Вт, 5.0л, 25 программ, мультиповар, антиприг. покрыти;17306;25810;0;2
Мультиварка Centek CT-1499 <чёрный/сталь>  900Вт, 5.0л, 25 программ, мультиповар, антиприг. покрыти;17306;25790;2;3
Мультиварка OPTIMA MC-5101 (11 реж., Led-диспл., антиприг.покр.чаши, электр. упр.,аксесс.,5л,900Вт);19120;13725;1;2
Мясорубка Centek CT-1606 3000Bт, алюм. корпус, 3 диска, алюм.лоток, насадки колбас и кеббе, 3кг/мин;17282;52820;1;2
Мясорубка Centek CT-1623 <2000 Bт> 2 кг/мин, реверс, стальной коннектор, 2 диска, 2 насадки;11319;35665;2;4
Мясорубка Centek CT-1623 <2000 Bт> 2 кг/мин, реверс, стальной коннектор, 2 диска, 2 насадки;11319;39000;0;2
Мясорубка Centek CT-1623 <2000 Bт> 2 кг/мин, реверс, стальной коннектор, 2 диска, 2 насадки;11319;35665;1;3
Электромясорубка WILLMARK WMG-2512X (2000Вт, 2.1кг/мин, реверс, защита двиг., 2 реш.);19118;15870;2;4
Электромясорубка Аксион М 12.02;1350;25694;2;2
Электромясорубка Аксион М 12.02;1350;25694;2;3
Электромясорубка Аксион М 21.01;987;22720;2;4
Электромясорубка Аксион М 21.01;987;21027;0;2
Электромясорубка Аксион М 21.03;989;37910;2;4
Электромясорубка Аксион М 21.03;989;37990;0;2
Электромясорубка Аксион М 21.03;989;37910;1;3
Электромясорубка Аксион М 25.01;991;22025;5;17
Электромясорубка Аксион М 25.01;991;22025;3;1
Электромясорубка Аксион М 25.01;991;22025;2;2
Электромясорубка Аксион М 25.01;991;22025;3;3
Электромясорубка Аксион М 25.02;992;25820;2;17
Электромясорубка Аксион М 25.02;992;25880;3;1
Электромясорубка Аксион М 25.02;992;30000;3;2
Электромясорубка Аксион М 25.02;992;25860;3;3
Электромясорубка Аксион М 25.03;993;23750;0;2
Электромясорубка Аксион М 25.03;993;25870;1;3
Электромясорубка Аксион М 25.10;4120;21412;3;4
Электромясорубка Аксион М 25.10;4120;21412;2;2
Электромясорубка Аксион М 25.10;4120;21412;3;3
Электромясорубка Аксион М 31.01 с реверсом;995;25114;0;4
Электромясорубка Аксион М 31.01 с реверсом;995;23648;0;1
Электромясорубка Аксион М 31.01 с реверсом;995;23648;9;2
Электромясорубка Аксион М 31.01 с реверсом;995;23648;3;3
Электромясорубка Аксион М 31.01 с реверсом  в черном  корпусе;1016;31500;0;4
Электромясорубка Аксион М 31.01 с реверсом  в черном  корпусе;1016;31320;3;2
Электромясорубка Аксион М 31.01 с реверсом  в черном  корпусе;1016;31320;3;3
Электромясорубка Аксион М 31.02;2378;28355;2;4
Электромясорубка Аксион М 31.02;2378;28355;6;17
Электромясорубка Аксион М 31.02;2378;28355;2;1
Электромясорубка Аксион М 31.02;2378;28355;7;2
Электромясорубка Аксион М 31.03;2379;32820;3;17
Электромясорубка Аксион М 31.03;2379;32820;1;2
Электромясорубка Аксион М 31.03;2379;32820;3;3
Электромясорубка Аксион М 32.01 в желтом  корпусе;2642;22840;0;2
Электромясорубка Аксион М 32.01 в желтом  корпусе;2642;22920;1;3
Электромясорубка Аксион М 32.02;1002;28887;0;4
Электромясорубка Аксион М 32.02;1002;28466;5;17
Электромясорубка Аксион М 32.02;1002;28466;4;2
Электромясорубка Аксион М 32.03;1003;28672;5;17
Электромясорубка Аксион М 32.03;1003;33589;0;2
Электромясорубка Аксион М 33.01;2542;28000;0;2
Электромясорубка Аксион М 33.01;2542;25140;0;3
Электромясорубка Аксион М 33.04;4714;29898;2;4
Электромясорубка Аксион М 33.04;4714;29898;1;17
Электромясорубка Аксион М 33.04;4714;30262;1;1
Электромясорубка Аксион М 33.04;4714;30262;0;2
Электромясорубка Аксион М 33.04;4714;28100;0;3
Электромясорубка Аксион М 34.01;2981;22233;1;4
Электромясорубка Аксион М 34.01;2981;21694;10;17
Электромясорубка Аксион М 34.01;2981;22201;0;2
Электромясорубка Аксион М 34.01;2981;22201;2;3
Электромясорубка Аксион М 34.02;3426;28983;1;4
Электромясорубка Аксион М 34.02;3426;29383;0;2
Электромясорубка Аксион М 41.01;1355;31317;6;17
Электромясорубка Аксион М 41.01;1355;31317;3;2
Электромясорубка Аксион М 41.01;1355;31317;3;3
Электромясорубка Аксион М 41.02;2644;35054;2;17
Электромясорубка Аксион М 41.02;2644;41200;0;2
Электромясорубка Аксион М 41.02;2644;35316;3;3
Электромясорубка Аксион М 641.02;11597;50836;2;4
Электромясорубка Аксион М 641.02;11597;51495;0;2
Электромясорубра Аксион М 321.04;18686;41720;4;4
Электромясорубра Аксион М 34.03;4715;30090;2;4
Электромясорубра Аксион М 34.03;4715;30090;0;2
Электромясорубра Аксион М 34.03;4715;30090;2;3
Электромясорубра Аксион М 35.02;4717;28737;5;17
Электромясорубра Аксион М 35.02;4717;30030;6;2
Электромясорубра Аксион М 35.02;4717;30030;3;3
Электромясорубра Аксион М 35.04;10483;27020;1;4
Электромясорубра Аксион М 35.04;10483;27020;2;17
Электромясорубра Аксион М 35.04;10483;27799;0;2
Электромясорубра Аксион М 41.04;10961;36400;0;2
Электромясорубра Аксион М 41.04;10961;32579;3;3
Электромясорубра Аксион М 42.02;7411;59890;2;4
Электромясорубра Аксион М 42.02;7411;59890;6;17
